04/07 04:11:49.332/IST   WARN - Session Config - 2# no announce.new.markets property found in initialization file; defaulting to false
04/07 06:53:10.391/IST   INFO -  PriceAction - 4048# laha1 traded with the market maker for 0 of IPL11:7 changing the price from 0.0455 to 0.3369
04/07 06:53:10.391/IST   INFO -  PriceAction - 4049# laha1 traded with the market maker for 0 of IPL11:6 changing the price from 0.1141 to 0.8443
04/07 06:53:10.392/IST   INFO -  PriceAction - 4050# laha1 traded with the market maker for 0 of IPL11:5 changing the price from 0.268 to 1.9837
04/07 06:53:10.453/IST   INFO -     NewChart - The chart for IPL11 has been updated.
04/07 06:53:10.454/IST   INFO -  PriceChange - prices in market 'IPL11' changed.  IPL11:2: 1, IPL11:3: 1, IPL11:4: 0, IPL11:8: 74, IPL11:1: 1, IPL11:9: 20, IPL11:7: 0, IPL11:6: 1, IPL11:5: 2
04/07 06:53:10.455/IST   WARN -    UserError - 4051# told laha1 "Sold -79.976 to MarketMaker.".
04/07 06:53:10.552/IST   INFO -     NewChart - The chart for IPL11 has been updated.
04/07 06:53:24.032/IST  DEBUG -      Trading - laha1 wants to buy 7 with limit of 100 @ 30.
04/07 06:53:24.062/IST   INFO -  PriceAction - 4079# laha1 traded with the market maker for 0 of IPL11:5 changing the price from 1.9837 to 1.3933
04/07 06:53:24.063/IST   INFO -  PriceAction - 4080# laha1 traded with the market maker for 0 of IPL11:1 changing the price from 1.1782 to 0.8275
04/07 06:53:24.063/IST   INFO -  PriceAction - 4081# laha1 traded with the market maker for 0 of IPL11:9 changing the price from 20 to 14.0473
04/07 06:53:24.063/IST   INFO -  PriceAction - 4082# laha1 traded with the market maker for 0 of IPL11:3 changing the price from 0.7304 to 0.513
04/07 06:53:24.063/IST   INFO -  PriceAction - 4083# laha1 traded with the market maker for 22.395 of IPL11:7 changing the price from 0.3369 to 30
04/07 06:53:24.064/IST   INFO -  PriceAction - 4084# laha1 traded with the market maker for 0 of IPL11:2 changing the price from 0.5344 to 0.3753
04/07 06:53:24.064/IST   INFO -  PriceAction - 4085# laha1 traded with the market maker for 0 of IPL11:4 changing the price from 0.3769 to 0.2647
04/07 06:53:24.064/IST   INFO -  PriceAction - 4086# laha1 traded with the market maker for 0 of IPL11:8 changing the price from 74.0152 to 51.9858
04/07 06:53:24.064/IST   INFO -  PriceAction - 4087# laha1 traded with the market maker for 0 of IPL11:6 changing the price from 0.8443 to 0.593
04/07 06:53:24.127/IST   INFO -     NewChart - The chart for IPL11 has been updated.
04/07 06:53:24.127/IST   INFO -  PriceChange - prices in market 'IPL11' changed.  IPL11:5: 1, IPL11:1: 1, IPL11:9: 14, IPL11:3: 1, IPL11:7: 30, IPL11:2: 0, IPL11:4: 0, IPL11:8: 52, IPL11:6: 1
04/07 06:53:24.128/IST   WARN -    UserError - 4088# told laha1 "Bought 22.395 from MarketMaker.".
04/07 06:53:24.220/IST   INFO -     NewChart - The chart for IPL11 has been updated.
04/07 06:53:33.108/IST  DEBUG -      Trading - laha1 wants to buy 6 with limit of 100 @ 17.
04/07 06:53:33.135/IST   INFO -  PriceAction - 4125# laha1 traded with the market maker for 0 of IPL11:8 changing the price from 51.9858 to 43.4056
04/07 06:53:33.135/IST   INFO -  PriceAction - 4126# laha1 traded with the market maker for 0 of IPL11:2 changing the price from 0.3753 to 0.3134
04/07 06:53:33.136/IST   INFO -  PriceAction - 4127# laha1 traded with the market maker for 0 of IPL11:4 changing the price from 0.2647 to 0.221
04/07 06:53:33.136/IST   INFO -  PriceAction - 4128# laha1 traded with the market maker for 0 of IPL11:9 changing the price from 14.0473 to 11.7288
04/07 06:53:33.137/IST   INFO -  PriceAction - 4129# laha1 traded with the market maker for 0 of IPL11:5 changing the price from 1.3933 to 1.1633
04/07 06:53:33.138/IST   INFO -  PriceAction - 4130# laha1 traded with the market maker for 0 of IPL11:3 changing the price from 0.513 to 0.4283
04/07 06:53:33.138/IST   INFO -  PriceAction - 4131# laha1 traded with the market maker for 0 of IPL11:7 changing the price from 30 to 25.0485
04/07 06:53:33.139/IST   INFO -  PriceAction - 4132# laha1 traded with the market maker for -11.116 of IPL11:6 changing the price from 0.593 to 17
04/07 06:53:33.139/IST   INFO -  PriceAction - 4133# laha1 traded with the market maker for 0 of IPL11:1 changing the price from 0.8275 to 0.691
04/07 06:53:33.201/IST   INFO -     NewChart - The chart for IPL11 has been updated.
04/07 06:53:33.201/IST   INFO -  PriceChange - prices in market 'IPL11' changed.  IPL11:8: 43, IPL11:2: 0, IPL11:4: 0, IPL11:9: 12, IPL11:5: 1, IPL11:3: 0, IPL11:7: 25, IPL11:6: 17, IPL11:1: 1
04/07 06:53:33.202/IST   WARN -    UserError - 4134# told laha1 "Bought -11.116 from MarketMaker.".
04/07 06:53:33.296/IST   INFO -     NewChart - The chart for IPL11 has been updated.
04/07 06:54:03.324/IST  DEBUG -      Trading - laha1 wants to buy 5 with limit of 100 @ 15.
04/07 06:54:03.356/IST   INFO -  PriceAction - 4180# laha1 traded with the market maker for 0 of IPL11:6 changing the price from 17 to 14.6201
04/07 06:54:03.356/IST   INFO -  PriceAction - 4181# laha1 traded with the market maker for 0 of IPL11:7 changing the price from 25.0485 to 21.5419
04/07 06:54:03.357/IST   INFO -  PriceAction - 4182# laha1 traded with the market maker for 0 of IPL11:3 changing the price from 0.4283 to 0.3684
04/07 06:54:03.357/IST   INFO -  PriceAction - 4183# laha1 traded with the market maker for 0 of IPL11:4 changing the price from 0.221 to 0.1901
04/07 06:54:03.358/IST   INFO -  PriceAction - 4184# laha1 traded with the market maker for 0 of IPL11:8 changing the price from 43.4056 to 37.329
04/07 06:54:03.358/IST   INFO -  PriceAction - 4185# laha1 traded with the market maker for 0 of IPL11:1 changing the price from 0.691 to 0.5942
04/07 06:54:03.359/IST   INFO -  PriceAction - 4186# laha1 traded with the market maker for -16.847 of IPL11:5 changing the price from 1.1633 to 15
04/07 06:54:03.360/IST   INFO -  PriceAction - 4187# laha1 traded with the market maker for 0 of IPL11:9 changing the price from 11.7288 to 10.0869
04/07 06:54:03.360/IST   INFO -  PriceAction - 4188# laha1 traded with the market maker for 0 of IPL11:2 changing the price from 0.3134 to 0.2695
04/07 06:54:03.419/IST   INFO -     NewChart - The chart for IPL11 has been updated.
04/07 06:54:03.419/IST   INFO -  PriceChange - prices in market 'IPL11' changed.  IPL11:6: 15, IPL11:7: 22, IPL11:3: 0, IPL11:4: 0, IPL11:8: 37, IPL11:1: 1, IPL11:5: 15, IPL11:9: 10, IPL11:2: 0
04/07 06:54:03.420/IST   WARN -    UserError - 4189# told laha1 "Bought -16.847 from MarketMaker.".
04/07 06:54:03.507/IST   INFO -     NewChart - The chart for IPL11 has been updated.
